pair_index,frame1,frame2,num_matches,num_inliers,inlier_ratio
229,1305031460.427477.png,1305031460.459620.png,1713,876,0.51138353765324
230,1305031460.459620.png,1305031460.491504.png,1745,991,0.5679083094555873
231,1305031460.491504.png,1305031460.527570.png,1793,966,0.5387618516452872
232,1305031460.527570.png,1305031460.559647.png,1897,1148,0.6051660516605166
233,1305031460.559647.png,1305031460.591855.png,1935,1101,0.5689922480620155
234,1305031460.591855.png,1305031460.627625.png,1985,1091,0.5496221662468513
235,1305031460.627625.png,1305031460.659764.png,1998,1169,0.585085085085085
236,1305031460.659764.png,1305031460.691671.png,2187,1443,0.6598079561042524
237,1305031460.691671.png,1305031460.727675.png,2117,1261,0.5956542276806802
238,1305031460.727675.png,1305031460.759667.png,2075,1192,0.5744578313253013
239,1305031460.759667.png,1305031460.791660.png,2185,1429,0.6540045766590389
240,1305031460.791660.png,1305031460.827660.png,2046,1212,0.592375366568915
241,1305031460.827660.png,1305031460.859714.png,2131,1345,0.6311590802440169
242,1305031460.859714.png,1305031460.891774.png,2117,1297,0.6126594237128011
243,1305031460.891774.png,1305031460.927562.png,2071,1228,0.5929502655721873
244,1305031460.927562.png,1305031460.959649.png,1993,1068,0.5358755644756649
245,1305031460.959649.png,1305031460.991668.png,1933,1023,0.5292291774443869
246,1305031460.991668.png,1305031461.027620.png,1785,885,0.4957983193277311
247,1305031461.027620.png,1305031461.059662.png,1799,913,0.5075041689827682
248,1305031461.059662.png,1305031461.091728.png,2033,1327,0.6527299557304476
249,1305031461.091728.png,1305031461.127586.png,1905,1019,0.5349081364829397
250,1305031461.127586.png,1305031461.159720.png,1834,987,0.5381679389312977
251,1305031461.159720.png,1305031461.192013.png,1855,956,0.5153638814016173
252,1305031461.192013.png,1305031461.227607.png,1982,1119,0.5645812310797175
253,1305031461.227607.png,1305031461.259642.png,1888,951,0.503707627118644
254,1305031461.259642.png,1305031461.291656.png,1948,1085,0.5569815195071869
255,1305031461.291656.png,1305031461.327751.png,2017,1116,0.5532969757064948
256,1305031461.327751.png,1305031461.359709.png,1956,1061,0.5424335378323109
257,1305031461.359709.png,1305031461.391708.png,2038,1144,0.5613346418056918
258,1305031461.391708.png,1305031461.427624.png,2156,1298,0.6020408163265306
259,1305031461.427624.png,1305031461.459781.png,1961,1115,0.5685874553799082
260,1305031461.459781.png,1305031461.491677.png,1877,1068,0.5689930740543421
261,1305031461.491677.png,1305031461.527705.png,2027,1469,0.7247163295510607
262,1305031461.527705.png,1305031461.559677.png,2006,993,0.4950149551345962
263,1305031461.559677.png,1305031461.591690.png,1942,928,0.47785787847579814
264,1305031461.591690.png,1305031461.627541.png,2077,1282,0.6172363986519018
265,1305031461.627541.png,1305031461.659622.png,2236,1572,0.7030411449016101
266,1305031461.659622.png,1305031461.691563.png,2139,1313,0.613838242169238
267,1305031461.691563.png,1305031461.727602.png,2087,1131,0.5419262098706277
268,1305031461.727602.png,1305031461.759684.png,2100,1309,0.6233333333333333
269,1305031461.759684.png,1305031461.791612.png,1922,1055,0.548907388137357
270,1305031461.791612.png,1305031461.827615.png,1938,1035,0.5340557275541795
271,1305031461.827615.png,1305031461.859767.png,1815,839,0.46225895316804405
272,1305031461.859767.png,1305031461.891723.png,1659,674,0.4062688366485835
273,1305031461.891723.png,1305031461.927758.png,1667,813,0.4877024595080984
274,1305031461.927758.png,1305031461.959703.png,1623,696,0.4288354898336414
275,1305031461.959703.png,1305031461.991590.png,1417,454,0.3203952011291461
276,1305031461.991590.png,1305031462.027675.png,1526,666,0.436435124508519
277,1305031462.027675.png,1305031462.059837.png,1675,762,0.45492537313432835
278,1305031462.059837.png,1305031462.091777.png,1614,736,0.4560099132589839
279,1305031462.091777.png,1305031462.127739.png,1575,748,0.4749206349206349
280,1305031462.127739.png,1305031462.159646.png,1590,696,0.4377358490566038
281,1305031462.159646.png,1305031462.191641.png,1646,864,0.5249088699878494
282,1305031462.191641.png,1305031462.227633.png,1615,817,0.5058823529411764
283,1305031462.227633.png,1305031462.259765.png,1523,723,0.4747209455022981
284,1305031462.259765.png,1305031462.291629.png,1604,879,0.5480049875311721
285,1305031462.291629.png,1305031462.327540.png,1627,841,0.5169022741241549
286,1305031462.327540.png,1305031462.359732.png,1568,714,0.45535714285714285
287,1305031462.359732.png,1305031462.391695.png,1538,741,0.48179453836150843
288,1305031462.391695.png,1305031462.427635.png,1428,604,0.42296918767507
289,1305031462.427635.png,1305031462.459897.png,1421,588,0.41379310344827586
290,1305031462.459897.png,1305031462.492008.png,1438,564,0.39221140472878996
291,1305031462.492008.png,1305031462.527670.png,1415,538,0.38021201413427563
292,1305031462.527670.png,1305031462.559862.png,1503,581,0.3865602129075183
293,1305031462.559862.png,1305031462.591862.png,1683,751,0.44622697563874036
294,1305031462.591862.png,1305031462.627851.png,1750,839,0.4794285714285714
295,1305031462.627851.png,1305031462.659660.png,1746,827,0.4736540664375716
296,1305031462.659660.png,1305031462.692548.png,1705,856,0.5020527859237537
297,1305031462.692548.png,1305031462.727652.png,1684,823,0.48871733966745845
298,1305031462.727652.png,1305031462.759782.png,1657,860,0.5190102595051298
299,1305031462.759782.png,1305031462.791943.png,1630,791,0.4852760736196319
300,1305031462.791943.png,1305031462.827816.png,1572,695,0.44211195928753183
301,1305031462.827816.png,1305031462.859782.png,1474,626,0.42469470827679784
302,1305031462.859782.png,1305031462.891847.png,1622,789,0.48643649815043155
303,1305031462.891847.png,1305031462.927607.png,1681,829,0.49315883402736466
304,1305031462.927607.png,1305031462.959676.png,1753,896,0.511123787792356
305,1305031462.959676.png,1305031462.995550.png,1624,669,0.4119458128078818
306,1305031462.995550.png,1305031463.027667.png,1624,758,0.4667487684729064
307,1305031463.027667.png,1305031463.059810.png,1642,728,0.44336175395858707
308,1305031463.059810.png,1305031463.095809.png,1623,729,0.4491682070240296
309,1305031463.095809.png,1305031463.127550.png,1615,747,0.46253869969040246
310,1305031463.127550.png,1305031463.159787.png,1619,676,0.4175416924027177
311,1305031463.159787.png,1305031463.195657.png,1707,830,0.4862331575864089
312,1305031463.195657.png,1305031463.227784.png,1657,893,0.5389257694628847
313,1305031463.227784.png,1305031463.260034.png,1616,743,0.4597772277227723
314,1305031463.260034.png,1305031463.295737.png,1652,683,0.4134382566585956
315,1305031463.295737.png,1305031463.327739.png,1856,933,0.5026939655172413
316,1305031463.327739.png,1305031463.359750.png,1745,832,0.47679083094555874
317,1305031463.359750.png,1305031463.395630.png,1770,858,0.4847457627118644
318,1305031463.395630.png,1305031463.427716.png,1867,1078,0.5773968934118907
319,1305031463.427716.png,1305031463.459756.png,1725,881,0.5107246376811594
320,1305031463.459756.png,1305031463.495629.png,1752,1008,0.5753424657534246
321,1305031463.495629.png,1305031463.527670.png,1589,696,0.4380113278791693
322,1305031463.527670.png,1305031463.559751.png,1634,713,0.4363525091799266
323,1305031463.559751.png,1305031463.595600.png,1874,1058,0.5645677694770544
324,1305031463.595600.png,1305031463.627588.png,1578,565,0.35804816223067176
325,1305031463.627588.png,1305031463.659766.png,1518,619,0.4077733860342556
326,1305031463.659766.png,1305031463.695640.png,1624,661,0.40701970443349755
327,1305031463.695640.png,1305031463.727588.png,1701,731,0.4297472075249853
328,1305031463.727588.png,1305031463.759674.png,1602,657,0.4101123595505618
329,1305031463.759674.png,1305031463.795647.png,1643,643,0.3913572732805843
330,1305031463.795647.png,1305031463.827761.png,1827,881,0.4822112753147236
331,1305031463.827761.png,1305031463.859910.png,1847,779,0.42176502436383323
332,1305031463.859910.png,1305031463.895648.png,1885,792,0.42015915119363395
333,1305031463.895648.png,1305031463.927664.png,2059,1048,0.5089849441476445
334,1305031463.927664.png,1305031463.959680.png,2070,1012,0.4888888888888889
335,1305031463.959680.png,1305031463.995821.png,2016,967,0.47966269841269843
336,1305031463.995821.png,1305031464.027703.png,2091,1034,0.49450023912003827
337,1305031464.027703.png,1305031464.059652.png,2010,925,0.4601990049751244
338,1305031464.059652.png,1305031464.095634.png,2013,941,0.4674615002483855
